,Tweets,ID
0,War in Ukraine: A family's 'torturous' UK visa chase https://t.co/sA8STfL1Eq,1501989273477734400
1,World's biggest dog show returns to Birmingham NEC https://t.co/ER1aveBNA4,1501986039250010116
2,Organisers asked to reimagine Edinburgh's Hogmanay https://t.co/QeR2vq3KPQ,1501982329245470723
3,"County Durham boy, 8, donates teddy to Ukrainian stranger https://t.co/0SnFAhDeSr",1501976804847988738
4,Dumped 1990s cars recovered from Paisley reservoir https://t.co/QZbVS6s3vL,1501976372385832960
5,How the NHS wrestled with worst winter on record https://t.co/IsG0Xt6vfs,1501976119452618753
6,"Sexual harassment in schools 'becoming the norm' for pupils, according to Wales' lead schools police officer

https://t.co/cWAdBnqnJB",1501974078911090689
7,The people who have waited years for a supermarket https://t.co/B28vBFgdW4,1501968246421004294
8,How the NHS wrestled with worst winter on record https://t.co/C3r8BptqQz,1501963523378892803
9,Rising fuel costs put car-reliant businesses under pressure https://t.co/EzBHFaD3MZ,1501962579354206210
10,"Armed officers arrested man who claimed to have brought explosives into Bristol hospital, shutting down its A&amp;E department

https://t.co/WjXpdPbeg9",1501960193160138752
11,"Triple killer found guilty of rape of his final victim, who was 18 weeks pregnant
 https://t.co/lTwEWoeoel",1501958554084913152
12,"Widow who fought to clear her husband's name after he was caught in the Post Office Horizon IT scandal says she wants bosses to face consequences

https://t.co/lUxL9YuSKD",1501956040841117705
13,MP settles with Google over child abuse advert https://t.co/q6VrWKkBb9,1501951581163429898
14,Farmers warn Ukraine war will hit UK food prices https://t.co/WoEaYV2lJs,1501944136118648832
15,Bristol rioter Mariella Gedge-Rogers jailed after attacking officer with skateboard https://t.co/UfhmJGZ8zz,1501942515842236424
16,Sanctioning of Chelsea owner by UK government halts club's sale https://t.co/i13RK4rUN5,1501937643017281543
17,"North Sea oil not solution to Russian reliance, says Nicola Sturgeon https://t.co/OZJogz5koV",1501936097198178306
18,'I call my remaining kidney Home Alone Kevin' https://t.co/Y4oTf7fCmk,1501929042206932994
19,Midwife struck off over Shropshire baby's death https://t.co/obyupS3PAT,1501921272174989312
20,Fact-checking Boris Johnson's claim about refugees https://t.co/TBquzBLi1U,1501920685408591873
21,'I chose to have my leg amputated after years of pain' https://t.co/tWfsxKORed,1501916824895729670
22,Ex-Radio 1 DJ Mark Page jailed for 12 years over child sex offences https://t.co/Of57JrLHzt,1501911729294516224
23,'Urgent action' needed on hospital waiting times in NI and Republic https://t.co/jqIXC2JVGo,1501911005189877761
24,John Lewis restores bonus as department store sales surge https://t.co/bkl3ZCCGQ3,1501905897190305801
25,The risk management experts now in high demand https://t.co/92KyjJ3MQY,1501899672687947776
26,Antrim IT firm Outsource buys cyber-security service Ansec https://t.co/8LOYyqstmx,1501899015574675456
27,"Children's social care generates excessive profits, says watchdog https://t.co/VjFfpmBpo2",1501896353789718533
28,"Use Russian money to rebuild Ukraine, says bank chief https://t.co/5EfT0J8H00",1501891459255054338
29,Distributors warn fuel price spike will hit food bills https://t.co/4H06CyRr2R,1501886053426282497
30,Leeds Bradford Airport scraps plans for new £150m terminal https://t.co/zD2mut9yCo,1501880821338320902
31,Faulty drainage work blamed for fatal Stonehaven derailment https://t.co/qSd1e994hm,1501876180642840579
32,Uniqlo owner U-turns and suspends operations in Russia https://t.co/uuoEf7W6Pf,1501870933987975176
33,Nicholas Rossi: The man accused of being a fugitive https://t.co/qOdYQeB0yH,1501866917665165321
34,TikTok star Sam Ryder to sing Space Man for UK at Eurovision 2022 https://t.co/RAN3J5QRUm,1501857919146594307
35,Chelsea FC owner Roman Abramovich sanctioned by UK https://t.co/cRJTREedQV,1501851938312306688
36,"Should human kidneys be bought and sold?

https://t.co/WiegCYgzpY",1501849421386063879
37,Grim reaper tattoo used in throat cancer reconstruction https://t.co/Um71svclhc,1501838148850135041
38,Ukrainian families face limbo over British visa delays https://t.co/oohzZBESVn,1501832785903988744
39,"The NHS worker who made his first film for under £5,000 https://t.co/LOE7rJJPgX",1501830907967254532
40,Ipswich WW1 soldier's grave rededicated 104 years on https://t.co/ANHFcAW1Qx,1501826934099095553
41,Huawei board members resign over silence on Ukraine https://t.co/tYia9uJ1xr,1501819365595009024
42,Toddler tossed to safety from burning building https://t.co/GLhykSd53u,1501809445940125703
43,Ukraine ambassador calls for UK to end 'bureaucratic red tape' for refugees https://t.co/k3F7BJhlOo,1501808967613399040
44,Newspaper headlines: 'Barbaric' children's hospital bombing 'a new low' https://t.co/Ui4Jsnppbt,1501804134697259008
45,EU leaders unite to confront Putin's war in Ukraine https://t.co/irXon0xiP9,1501739232389472256
46,Drought robs Amazon communities of 'life-giving' river https://t.co/NcQinTGkeR,1501736394309476356
47,Israel's Bennett plays peacemaker in Ukraine-Russia war https://t.co/TizXylb4el,1501736392325578754
48,The Capitol riot trial that tore a family apart https://t.co/Z0ecJTKsWF,1501736392317100036
49,Newspaper headlines: 'Barbaric' children's hospital bombing 'a new low' https://t.co/yHjmiKT0zA,1501710930283053061
50,"Russia's invasion of Ukraine shows era of complacency is over, says Foreign Secretary Liz Truss https://t.co/pFceQW5nMi",1501709199050477568
51,US Border Patrol finds dozens of snakes and reptiles in man's outfit https://t.co/NSnESRuNT5,1501700881707905029
52,Novak Djokovic pulls out of Indian Wells and Miami Open over US coronavirus rules https://t.co/4MO0DEHxYT,1501697865080520706
53,Irish student 'finally at safety' at Romanian border https://t.co/tLkADhDmRg,1501697353325162498
54,Your guide to understanding day 14 of Russia's invasion of Ukraine https://t.co/v6SaGvnSLU,1501695590849200133
55,Private militias recruiting ex-soldiers and civilians to join fight in Ukraine https://t.co/3uo3b0nLuQ,1501694832233881603
56,Cardiff University to offer CPR training to all students https://t.co/7TweRAPlSJ,1501693758290763779
57,Ukraine war: Children of the Soviet era running from Russia https://t.co/DDk0AF2cVj,1501692730719756295
58,Stormont health chief to get new role in civil service reshuffle https://t.co/RlAJJ3bmyZ,1501690615653883907
59,"Thursday's Times: ""Aiming at mothers and babies"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/NX96WgNA86",1501689337775366150
60,"“Every day another big-name brand shuts up shop”

BBC Moscow correspondent @BBCSteveR tells #BBCNewscast how Russians are starting to feel isolated

Listen to the full interview on @BBCSounds https://t.co/u3ixTkoo6a",1501689310067703815
61,"Scottish Cycling pays tribute to former junior world champion John Paul, who has died aged 28 https://t.co/Q0thWujADb",1501688290059198467
62,"Thursday's Star: ""Do you really think that's wise, sir?"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/14rSjlITT2",1501687294910152706
63,"Thursday's Express: ""The ultimate in depravity"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/LyEMxSe44L",1501686839383625728
64,Oil prices plunge as UAE supports supply boost https://t.co/RNcO4Qd27A,1501686276130541569
65,"Thursday's Sun: ""Evil upon evil"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/T2FoID7y3U",1501685508044468231
66,"Thursday's Mail: ""Depraved"" #BBCPapers #TomorrowsPapersToday https://t.co/7FuHsAa3Vz https://t.co/U596Q1RQxp",1501685033601540099
