,Tweets,ID
0,Newspaper headlines: 'Shut down' cities warning as UK coronavirus cases jump https://t.co/mNd57vTKIO,1234260315929554944
1,Pete Buttigieg to pull out of Democratic race https://t.co/DGWvZCPjIM,1234257627015786505
2,WhatsOnStage Awards: Claire Foy and Andrew Scott among winners https://t.co/NEHHOtKa3t,1234242138034049024
3,Real Madrid 2-0 Barcelona: Vinicius Junior and Mariano score in key El Clasico https://t.co/rBbrmVlCnZ,1234241497291161602
4,"Beatles guitar valued at £400,000 on Antiques Roadshow https://t.co/wCmW8rSrnU",1234227018717433857
5,Climate change: Australian summers 'twice as long as winters' https://t.co/9fTrrKxFz7,1234217419998187521
6,Greta Thunberg Bristol strike: Row over College Green damage https://t.co/MIfcCyocto,1234187714838323202
7,Aston Villa 1-2 Manchester City: Sergio Aguero &amp; Rodri goals secure third Carabao Cup in a row https://t.co/AAP82auGFw,1234183249817153536
8,Callum Manning: Online surge of support for bullied book lover https://t.co/ksXsxob7hu,1234153320786415621
9,Hundreds call for organisers of Greta Thunberg climate change rally to pay for damage caused to green space https://t.co/0mAlYHql4V,1234135069981323265
10,Coronavirus: Tokyo Marathon takes place on empty streets https://t.co/V3IvUrKzeW,1234120750078009345
11,Storm Jorge: Family escapes unhurt as tree falls on car https://t.co/Y4EiSXiSaM,1234116442632720385
12,"Greece blocks 10,000 migrants at Turkey border https://t.co/aCU5HaeZGE",1234115746323714050
13,Twelve more coronavirus cases confirmed in England https://t.co/kpyjVmqvWo,1234113038283952128
14,Storm Jorge: New floods 'won't be as extreme' https://t.co/GjX20OdQOV,1234104747151499264
15,"""This is down to you Malachi""

A £5m homeless centre has opened in east London and it all began with a £5 donation from a boy's tooth fairy money

(via @BBCLondonNews) https://t.co/rO09ZNS6Vd https://t.co/JyI7xk8E5F",1234088851607519234
16,Watford 3-0 Liverpool: Liverpool 'unburdened' as unbeaten run comes to end https://t.co/or0EzDyaO0,1233999677349072901
17,"Coronavirus: US confirms first death, in Washington state https://t.co/iwEUapJzi6",1233996185037418496
18,Priti Patel urged to respond to bullying claims https://t.co/oryoDKSS4v,1233974452301549568
19,Coronavirus: Italian economy takes a body blow https://t.co/zjOgpOobMN,1233965140527263745
20,"Coventry stabbing: House party link to death of boy, 16 https://t.co/1RanzGpzXq",1233946133040377857
21,South Carolina primary: Who are the winners and losers? https://t.co/cHhKpV1enW,1233945562342449152
22,Coronavirus: 'Battleplan' role for retired doctors https://t.co/d2C1D8au8C,1233944876737351681
23,Plastic pollution: Snowdon research is a 'wake-up call' https://t.co/c9ODRyuhlv,1233933012741562368
24,Berlin International Film Festival: Iranian film about executions wins top prize https://t.co/INbXX0eoPz,1233921691635658752
25,War of words as Nigerian English gets Oxford recognition https://t.co/QWUpD9VBn8,1233918079391993857
26,One-armed potter: 'I just muddle my way through' https://t.co/MmQpLwiizF,1233917512930222082
27,6 Music Festival: 'When bands smash guitars it breaks my heart' https://t.co/vhr4yhF3lC,1233917502662594561
28,"Tyson Fury v Deontay Wilder III 'before Olympics, July', says promoter Bob Arum https://t.co/mfAMb8TAht",1233916975161712640
29,Liverpool's Premier League unbeaten run ends: Where did it rank with greats? https://t.co/xPPxoi9VMT,1233916970162118659
30,Into the Wild: Why tourists are risking their lives to visit a bus https://t.co/8U44gFiy2f,1233916969889550337
31,St David: Ten things about the Patron Saint of Wales https://t.co/PPDxQD6CTL,1233912897379672065
32,Northern rail: Government takes over after chaos https://t.co/XJxRDLRu8w,1233912224240066566
33,South Carolina primary: Joe Biden projected to win https://t.co/xGAbMtYppB,1233907981529559040
34,NHS gender clinic 'should have challenged me more' over transition https://t.co/Q1xk4k6fVr,1233907981361741824
35,"Newspaper headlines: 'Chaos' at Home Office, and No 10 baby on way https://t.co/7TXXL9ppaW",1233890085210382337
36,Slovakia election: Anti-corruption party wins most votes - exit poll https://t.co/0OzxgBw6Gu,1233887688593420288
37,Afghan conflict: Trump hails deal with Taliban to end 18-year war https://t.co/fYklOQdiLg,1233873205514981376
38,South Carolina primary: Where we are in the Democratic race https://t.co/mBnhuPPUNz,1233868575422779393
39,Watford 3-0 Liverpool: Jurgen Klopp's side lose first Premier League game of the season https://t.co/NhkosaUNCQ,1233837940901601284
40,Boris Nemtsov: Russians march in memory of slain Putin opponent https://t.co/7GANoFGIYD,1233828064796323840
41,Coronavirus: Nasa images show China pollution clear amid slowdown https://t.co/QguTq0uUAx,1233826329038131201
42,"Happy birthday 'leaplings'! 🎉 🎂 🎈

We asked people around the world what it's like being born on February 29

https://t.co/CzvXVPXXBa https://t.co/qoQ4R5Irhc",1233770874572091393
43,"Three more people test positive for coronavirus in England, taking UK total to 23 https://t.co/1oWyMMq2ga",1233766242261053442
44,Nothing remotely normal about Sir Philip Rutnam's resignation https://t.co/FUxsLzgLAR,1233736530977488896
45,US-Taliban deal could see US pullout in 14 months https://t.co/lyWvjrcjym,1233731293562769408
46,Syria war: Turkey says thousands of migrants have crossed to EU https://t.co/b4rV7OUPRt,1233726480582135810
47,Body found on M25 after 'hit and run' https://t.co/85Y59t2C1h,1233725750420934658
48,Three die in dry-ice incident at Moscow pool party https://t.co/StCoPYHH9g,1233720487538282496
49,"""I have been the target of a vicious and orchestrated briefing campaign""

Top civil servant in the Home Office, Sir Philip Rutnam, quits and says he intends to sue the government for constructive dismissal https://t.co/9m4hL9nUcp https://t.co/U23fXTJnLT",1233701403689963521
50,Home Office boss quits over 'campaign against him' https://t.co/nEaENi40lk,1233694492773036037
51,Storm Jorge: Flood-hit areas braced for more severe weather https://t.co/9ize6B1mSa,1233686849845112834
52,Leap Year Day: 'I planned an £800K marriage proposal' https://t.co/b4zq8TuMSf,1233677895001919488
53,"Free transport in Luxembourg, but what's the cost? https://t.co/w92nnZGH55",1233676595208052737
54,Coronavirus: South Korea sees its largest rise in coronavirus cases https://t.co/B05jknXylf,1233661119434113024
55,Storm Jorge flooding: 'Critical incident' declared after flooding https://t.co/SWJG0sLmmD,1233653482604892160
56,Slovakia election: Double murder haunts voters https://t.co/MazBe3fZqg,1233640994584875018
57,One in five of UK's top FTSE 350 firms warned over gender diversity https://t.co/LB4K43ocCR,1233606395968282625
58,Coronavirus: Hunt for source of UK-infected case https://t.co/9DC0DNoSwN,1233580575761534977
59,Most graduates still gain financially from degrees https://t.co/VV8kBnAS2V,1233561817454084096
60,Fish oil supplements offer 'little or no benefit' against cancer https://t.co/E38Rkq9bhC,1233561812173455360
61,Margaret Thatcher: Former PM named outfits after Gorbachev and Reagan https://t.co/kYQQvsyFzd,1233559370178453505
62,Why are Scottish councils closing their outdoor centres? https://t.co/AXkrhgBUR9,1233558236306997249
63,Could deepfakes be used to train office workers? https://t.co/q1zgoeoZi8,1233558236302843904
64,Syria war: Refugees eye Europe as Turkey hits breaking point https://t.co/Yd9zaqWLwQ,1233557669530808321
65,Whitney Houston: Will Gompertz reviews hologram show in Sheffield ★★☆☆☆ https://t.co/jpH2qRD5yw,1233554653075427331
66,South Carolina primary: Is this Joe Biden’s big comeback? https://t.co/GBNECH1QQ8,1233554652949630978
67,Week in Pictures: 22-28 February https://t.co/oXOKX5xpys,1233551420688871425
68,Walkout as Polanksi wins 'best director' at Césars https://t.co/ZOBqQwZmTf,1233549747425890304
69,"Knife offenders lack male role models, says senior police officer https://t.co/gzj2WFsY0I",1233549189562404865
70,The decade that shattered trust in politics https://t.co/BYPsDtKcBq,1233548501801414656
71,Trump urges Afghans to seize opportunity for peace https://t.co/oY7c0gZC3v,1233533688908058625
72,Newspaper headlines: 'War on virus' with emergency laws and 'battle' plan https://t.co/7iYsMKULHv,1233528160203005953
73,"Saturday's Guardian: ""Red Cross⁩ to help NHS tackle virus outbreak"" #BBCPapers #TomorrowsPapersToday (via @hendopolis) https://t.co/eoZfB45dIV",1233517981898067968
74,"Saturday's Express: ""Killer Virus: Battle to keep us safe"" #BBCPapers #TomorrowsPapersToday (via @hendopolis) https://t.co/9EZ8UsV5Qy",1233517738762653696
75,"Saturday's Telegraph: ""Outbreak could leave one in ten in hospital"" #BBCPapers #TomorrowsPapersToday (via @hendopolis) https://t.co/XzRHhLYtse",1233517268715409409
76,"Saturday's Star: ""Coronavirus spreads to dogs"" #BBCPapers #TomorrowsPapersToday (via @hendopolis) https://t.co/e4h95lHWwG",1233516859808456706
77,"Saturday's Times: ""Emergency laws to help fight against coronavirus"" #BBCPapers #TomorrowsPapersToday (via @hendopolis) https://t.co/fXFHmHjkpQ",1233516477422194689
78,"Saturday's Mirror: ""Wage war on virus"" #BBCPapers #TomorrowsPapersToday (via @hendopolis) https://t.co/YVmN54VDr6",1233512652128825350
79,"Saturday's Mail: ""Emergency laws in war on virus"" #BBCPapers #TomorrowsPapersToday (via @hendopolis) https://t.co/ydobwxMLyv",1233512379201343491
80,"i weekend: ""Virus shock to global economy"" #BBCPapers #TomorrowsPapersToday (via @hendopolis) https://t.co/i1I3Jje9hI",1233511526226677760
81,"FT Weekend: ""Economy fears over virus push shares to worst week since 2008"" #BBCPapers #TomorrowsPapersToday (via @hendopolis) https://t.co/ZnszO4onIL",1233511243761274881
82,"""World leaders are behaving like children""

Greta Thunberg warns ""those in power"" she will ""not be silenced"" in Bristol speech

https://t.co/wR4OhwejJc https://t.co/HMfFlKFJ1g",1233502836287246336
83,Coronavirus: Risk of spread upgraded to highest level https://t.co/ps7x9OZVGO,1233487264967266305
84,"Royal Mint hopes to sell £100,000 piggy bank https://t.co/nmcZESOvuK",1233484754667941890
85,"Latest UK Coronavirus patient was infected in England 

https://t.co/uwJDlmAoGR",1233484693879840769
86,"Woman fails in bid to sue NHS over claims it had duty of care to tell about her father's fatal, inherited brain condition https://t.co/cpsXShJuK9",1233484598677528576
87,Cross-Channel roof box people smuggler jailed https://t.co/YDET2Sd6AK,1233477655963602944
88,Why should I care if share prices fall? https://t.co/M7YOMGo8My,1233465913011294211
89,Concrete barriers put on Suffolk road to enforce '28-mile detour' https://t.co/CtXY0CMn9c,1233456988648091649
