,Tweets,ID
0,@SciGeekJulie So the suicide attempts in children have gone up 300% in the second year of the pandemic. Eating disorders also increased. Sometimes something isn’t black and white. https://t.co/1ZpgO21hd5 https://t.co/GVTQxWWe1h,1501626027788800002
4,"@AlisonScott20 @jimbenson12 @NZFreedomPete @AshBloomfield @jacindaardern If you’re at all interested in the truth, read this article from Feb 2021. You can see the shot was “provisionally” approved with further information required from Pfizer. The rollout commenced without this information being received. https://t.co/bc9EOHRrr1",1501625942535720960
6,"@danielgoyal Why is the average age at death for those who died with Covid-19 in Scotland 79 for men and 84 for women while average life expectancy there is 77.1 for men and 81.1 for women. It seems Covid makes you live 2ish years longer, doesn't it?🤔
https://t.co/QNMC0UjsJt",1501625865268084739
7,"Hispanic 'long haulers' struggle against lingering effects of COVID-19

More medical news at https://t.co/pvWdUgzL00
#Epidemiology #MedTwitter #MedEd #MedNews
https://t.co/2Sp8hL2vJc",1501625857005301770
12,"🚨RENT RELIEF AVAILABLE🚨

Behind in rent? Apply for rent relief now. 

DEADLINE IS MARCH 31ST

Go to https://t.co/B1jaZDaRc4

https://t.co/ZjJRY0Mffq",1501625798326820867
15,"The first facility would be a hotel again by the end of April, the Covid-19 Response Minister says. https://t.co/pT3GKavjZI",1501625755825934339
16,@hvibration2021 You mean this study??? https://t.co/ICy2IwS9VP,1501625755805044737
17,Health News Why Florida’s New COVID-19 Vaccination Guidance Could Hurt Kids https://t.co/pKS6DWm2ko,1501625751870660610
19,@karamboflage @____Jeannette @Karl_Lauterbach https://t.co/uIXLdhZJKk,1501625688813711361
21,"@unguenta @LAussieBoy @dmarquarknox @Mike71699128 @Conspiracytrad1 Heart inflammation has been observed in some mRNA vaccine recipients. But the likelihood and severity pale in comparison to the effects of getting COVID-19.

https://t.co/sbCu7HmTXa",1501625663635263498
22,"@JamesLynchGTC @KellzBellzzah @AshTFE @ArmyofShadows2 @WinterOakPress @RevengeBunny @TaniaHop3 @JelenaWild0 @KarenJukes2 @ealeorah @Janetlynne211 @fedup42Mn @MelodyLenz6 @HappyClam @DebraDragonhea2 @lex31555 How many conspiracy theories have become conspiracy fact in the last year?  Lab created virus=check  Suppression of effective therapeutics in favor of experimental vaccines=check  Masks and lockdowns useless=check Even NBC reported on Remdisivir.
https://t.co/OMHWnuwfP4",1501625656026796033
24,@LaalaaScience @SciGeekJulie It may have something to do with the suicide attempts in children have tripled and eating disorders have gone up as well. https://t.co/GVTQxWWe1h https://t.co/1ZpgO21hd5,1501625635424243712
25,"Hispanic 'long haulers' struggle against lingering effects of COVID-19

For more up-to-date medical headlines, visit https://t.co/8ugyCPRjur
#MedicalNews #MedTwitter #MedEd #MedNews
https://t.co/o7PmZETjlX",1501625628730314752
26,"Data shows #Canada remains dependent on COVID-19 protective gear from abroad | CBC News https://t.co/AQxziQa2hM ""Despite domestic rallying, barely 30 per cent of #PPE spending goes to Canadian companies""",1501625570026741767
31,"@Lou4545 @Teramancer1 @m291982 @JakeEvansGA And you really should not get your news from TikTok videos. I thought only teens and pre-teens did that.

https://t.co/kvSWlCHQPc",1501625495556919298
35,"MPP Randy Hillier has Twitter account suspended permanently

Hillier's account had been suspended because he had violated the company's ""COVID-19 misleading information policy"".

 https://t.co/WELJQPFk8B via @ottawacitizen",1501625460484096003
37,WHO now ‘strongly supports’ broad access to COVID-19 boosters https://t.co/tythcpeKRO,1501625405127770119
39,Factory Mutual Says Wynn COVID-19 Suit Doesn’t Have Physical Damage Grounds https://t.co/ylGUYOZgt9,1501625371719962629
40,"A measure to fund the government beyond this week won’t fully cover the Biden administration’s plans to tackle Covid-19, setting the stage for lawmakers to debate another pandemic aid package later this year. From @Alexruoff and @MedResJourno. https://t.co/EBc96Qt6e9",1501625363532861446
42,"Mask mandate Ontario: Requirement to end in most places on March 21 | CTV News - CTV News Toronto
Read Full News here : https://t.co/WwTtluCWbe
#विजयीभवः_मोदी_योगी 
#Sreesanth 
#UPElectionResult2022 
#EVM_चोर_BJP
https://t.co/eYPkZXFmsw",1501625330527784966
47,日本人留学生がロシアにまだ居るというNewsをみました。ロシアは恐ろしい国だというならば、なぜ日本の留学生に配慮してあげないのでしょう？政府はCOVID-19で中国武漢の日本人を迎えに行きマスクを✈で送りましたが、紛争中足止めされている留学生の為になにか策を進めていますか？,1501625230250614785
48,"Deeply disturbing news. 

https://t.co/0BDJbC0yx3",1501625229436592131
50,"Highlights who has been most affected and summarizes the effect of the pandemic on the availability of mental health services and how this has changed during the pandemic. 
https://t.co/U5CozLghJF",1501625200361848839
53,"The Latest On Russia-Ukraine War and COVID Boosters: Leslie Marshall is joined by @rbollin1, and the two analyze new information on COVID-19 booster shots, and the latest news on the pandemic.
https://t.co/hJi1ePhhVP https://t.co/dH9BpsvtND",1501625150571089920
54,"Members of TSL's news team, including @marianaduranf, Elina Lingappa, Wally Bargeron, @wwsalmon and @sienarswift received first place for Best COVID-19 Coverage. The award recognized investigative and spot news pieces throughout the fall semester as well as TSL's COVID dashboard.",1501625149384056834
55,"The Great Resignation may be shaping today's workforce, but research from @TracyLDumas detailed one of the first employment disruptions created by the pandemic — the disproportionate number of women leaving their careers because of demands from COVID-19. https://t.co/T6Th9rSrjg",1501625130908364801
56,https://t.co/9hNZo6spv3,1501625090408079361
58,@unguenta @LAussieBoy @dmarquarknox @Mike71699128 @Conspiracytrad1 https://t.co/PelodJV8DX,1501625079267880960
59,"Yoh, we should have used this money to partly pay off our DRC reparations debt. 

Olemwa 🤣

Lubowa hospital developer blames rain, COVID-19 for construction delays https://t.co/D90KK2LbNv",1501625061844865030
60,"The province has announced an end date for mandatory masking in schools and most indoor public places. Do you agree with the move to end the mask mandate later this month? https://t.co/mlBsd40oWr

#COVID19ON #ONThealth #ONpoli https://t.co/CVE5ancc93",1501625046250536964
62,"Research suggests COVID-19 beliefs influenced by politicians, not scientists https://t.co/0uTOlYoYae https://t.co/EBdiflGX1p",1501625012175859712
63,Toronto Zoo is gearing up to vaccinate 146 animals against COVID-19 https://t.co/PFUbEKykQ2 via @StCatStandard,1501625001832820749
64,DFW's recovery from the economic havoc set off by the COVID-19 pandemic has dramatically outpaced the national average... Moody’s: How Dallas-Fort Worth is beating the nation at the economic recovery https://t.co/YHN0NEJ5dO via @DallasBizNews,1501624997370109957
66,"The fully vaccinated account for 9 of every 10 deaths from COVID-19 in England and 4 of 5 deaths among the triple-vaccinated

Did any one even call the Hague?

You were all jabbed with this, Why aren't YOU kicking up about it.

https://t.co/r5zhSMlRRK",1501624961512972294
69,"Covid-19 Live Updates: Mask Mandates, Cases and Vaccines News https://t.co/IDzKyHRmtL https://t.co/noCRXKzD6a",1501624909390303233
77,"Children and teens are significantly more likely to get diabetes after a COVID infection

Bad news for Houston, where diabetes is more prevalent than in most other major cities
https://t.co/FeaLECk13c",1501624744017563648
79,"El secretario general de la @ONU_es, @antonioguterres, advirtió que la pandemia de la #Covid_19 aún no ha terminado y que podría prolongarse más a causa de la desigual distribución de #vacunas, la que calificó de escandalosa

https://t.co/HGiusNuCza",1501624719212265477
83,"How much does $15B in new Covid-19 relief get the administration? 
 
Officials will start running out of treatments in May and ongoing research could be stalled this summer without new funds, four people briefed tell @adamcancryn and me.

https://t.co/qfq63aG4x6 https://t.co/lnw6pOnWEp",1501624659233624064
85,"@GovRonDeSantis @GovRonDeSantis made sure FL used its entire allocation of (not FDA approved &amp;/or are EUA only) monoclonal antibodies, inappropriately.
Monoclonal antibodies only WORK on certain strains of COVID-19.
DeathSantis should’ve promoted VACCINATION! B/C He is!
https://t.co/LJMwLDvLAf https://t.co/pgNMWR2yVz",1501624607324975104
91,"Today’s coronavirus news: Ontario to drop school masking requirements after March Break, sources say; WHO says COVID boosters needed, reversing previous call https://t.co/iCrFltR92K via @torontostar",1501624486453555201
95,Toronto Zoo is gearing up to vaccinate 146 animals against COVID-19 https://t.co/Zxt7Wx6ol3 via @WellandTribune,1501624422058414080
