,Tweets,class
470,covid  deaths are starting to decline in the northeast and midwest but still rising in california  following similar trends for cases and hospitalizations https   t co ,1
364,breaking news  in a reversal  the fda will wait for more data on pfizer s coronavirus vaccine before deciding whether to authorize it for children under   https   t co ,1
249,belgium health minister puts ban on non essential sexual activities of persons  or greater in indoor areas,0
656,when it comes to money  uncertainty is the new normal,0
485,men s tennis world no   novak djokovic will continue to refuse vaccination for covid   even if it costs him the chance to win more tournaments  he said in an interview broadcast by the bbc on tuesday https   t co ,1
132,how does the coronavirus work ,0
233,according to china s national health commission  eight new local covid  cases were reported in suzhou on tuesday https   t co ,1
675,will most of the world stop employing extraordinary public health measures to slow the spread of covid  by the end of the year  find out what the experts have to say   https   t co ,1
381,moderna might start enforcing its covid  vaccine patents in wealthy countries  it had pledged not to do so for the duration of the pandemic https   t co ,1
214,every member of congress will be allowed to attend president joe biden s first state of the union address on march   according to multiple reports  after biden s address to a joint session of congress last spring was limited to just  people because of covid  protocols  https   t co ,1
511,the fda has asked for more time to decide whether to expand pfizer s covid  vaccine to children under  years  saying it wants more time to consider additional data https   t co ,1
257,pfizer and biontech are delaying their request to the food and drug administration to authorize a two dose series of their covid  vaccine for children under five  the companies said on friday  https   t co ,1
985,can someone who has had covid  spread illness to others ,0
663,virus update     under pressure to ease up  biden weighs new virus response    covid  truck blockade shuts down ford plant in canada    virus cases rising rapidly in tonga    police arrest protesters at new zealand s parliament   more coverage  https   t co ,1
506,the fda authorized the use of a new covid  antibody drug from eli lilly that retains effectiveness against the omicron variant  filling a void after authorities stopped distributing some older antibody drugs that lost effectiveness against the strain https   t co ,1
732,can travel restrictions and quarantines stem the spread of the coronavirus ,0
898,are antibiotics effective in preventing and treating the new coronavirus ,0
643,the busiest u s  canada border crossing  the ambassador bridge  has reopened after protesters demonstrating against covid  measures blocked it for nearly a week  about  miles away  another protest persists in canada s capital  ottawa  https   t co ,1
410,few countries bet bigger on contact tracing than south korea  but most south koreans with covid  now isolate themselves at home without ever communicating directly with health investigators  https   t co ,1
1137,why outbreaks like coronavirus spread exponentially  and how to  flatten the curve ,0
622,robert f  kennedy jr  warns that anthony fauci is a fraud  and has  poisoned an entire generation of americans ,0
647, ap one of magnuson s priorities has been to keep the trial on track amid the covid  pandemic  https   t co ,1
906,what are the symptoms of covid  ,0
1120,if there s no cure  why go to the hospital unless you have a breathing problem ,0
360,the number of people dying from covid  in the u s  remains stubbornly high and has more than doubled in some states recently  according to new york times data  even as the number of infections have declined about   from their peak in mid january  https   t co tcsnbyocet,1
1101,coronavirus symptoms  what are they and how do i protect myself ,0
557,vitamins c and d finally adopted as coronavirus treatment,0
1067,the global elites did not expect the coronavirus to behave inadequately,0
390,human life must trump economics in a pandemic  this is why china is succeeding in war on covid  and us is on path to disaster,0
616,the average daily number of covid  cases and hospitalizations are continuing to fall in the u s   an indicator that the omicron variant s hold is weakening across the country  https   t co ,1
664,south korea will begin offering novavax inc  s covid  vaccine at hospitals  nursing homes and public health centers next week  adding another tool to fight a fast developing omicron surge  https   t co zidzugxlrr,1
411,new york s statewide school mask requirement will end on march   gov  kathy hochul said sunday  marking a shift that reflects a decline in covid  cases and decreased risks from the omicron variant https   t co gkkqwxlxzd,1
100,north america s busiest land border crossing has reopened after a nearly weeklong blockade of the ambassador bridge by protesters decrying covid  mandates  https   t co ,1
408,false claim   the coronavirus  is designed and any vaccine that is developed could infect you with the disease,0
104,coronavirus  the real story  part  ,0
386,covid  restrictions are easing  restaurants are deciding whether to keep masks on the menu  https   t co iyhktbloce,1
204,with covid  cases plummeting around the country  the last few weeks have seen a tidal wave of cruise lines dropping mask mandates https   t co  https   t co ,1
231,natural protection strategy against viruses  including coronavirus,0
989,will warm weather stop the outbreak of covid  ,0
498,walmart dropped its mask rules for vaccinated workers and ended its covid  paid time off policy after several states lifted mask mandates https   t co ,1
768,what should and shouldn t i do during this time to avoid exposure to and spread of this coronavirus  for example  what steps should i take if i need to go shopping for food and staples  what about eating at restaurants  ordering takeout  going to the gym or swimming in a public pool ,0
18,on monday afternoon  florida surgeon general dr  joseph ladapo announced that his state would be the first to recommend against vaccinating healthy children for covid    https   t co ,1
309,virus outbreak  covid  likely synthetic  researchers say,0
578,it is not plausible that the covid  developed naturally,0
246,info to proper parties to assist with coronavirus containment,0
367,new york city is expected to fire up to   municipal workers on friday for refusing to get vaccinated against the coronavirus  according to the mayor s office  a figure that represents less than  percent of the city work force  https   t co ,1
